datetime,open,high,low,close,volume,Market Cap
2017/4/10,1187.3,1190.34,1179.04,1187.13,215.883,19311200000
2017/4/9,1176.57,1197.21,1171.86,1187.87,242.343,19134400000
2017/4/8,1172.65,1184.98,1162.58,1175.95,209.312,19068600000
2017/4/7,1178.94,1186.58,1163.39,1176.9,317.022,19168500000
2017/4/6,1125.81,1188.37,1125.81,1182.68,511.222,18302600000
2017/4/5,1134.14,1135.09,1113.63,1124.78,414.784,18435700000
2017/4/4,1145.52,1156.44,1120.52,1133.25,436.31,18619000000
2017/4/3,1102.95,1151.74,1102.95,1143.81,580.444,17924600000
2017/4/2,1080.61,1107.59,1075.45,1102.17,514.187,17559400000
2017/4/1,1071.71,1091.72,1061.09,1080.5,289.634,17413000000
2017/3/31,1026.64,1074.92,1026.64,1071.79,447.287,16679000000
2017/3/30,1042.21,1049.29,1020.04,1026.43,352.969,16929800000
2017/3/29,1046.08,1055.13,1015.88,1039.97,298.458,16990900000
2017/3/28,1044.58,1064.65,1027.73,1047.15,326.332,16964500000
2017/3/27,972.05,1046.4,971.98,1045.77,372.535,15785000000
2017/3/26,974.01,1007.96,954.19,966.73,303.668,15814800000
2017/3/25,936.54,975.76,903.71,972.78,435.803,15204800000
2017/3/24,1038.45,1040.47,934.36,937.52,491.038,16857000000
2017/3/23,1050.05,1058.01,1028.93,1038.59,248.54,17043400000
2017/3/22,1120.65,1120.65,1014.21,1049.14,380.841,18187100000
2017/3/21,1055.36,1122.43,1055.36,1120.54,337.391,17125600000
2017/3/20,1037.24,1063.03,1036.68,1054.23,286.53,16829800000
2017/3/19,976.73,1069.91,976.73,1036.74,406.648,15846000000
2017/3/18,1099.69,1114.07,957.65,973.82,621.302,17838700000
2017/3/17,1180.16,1180.16,1099.57,1100.23,706.599,19141800000
2017/3/16,1251.33,1257.98,1152.44,1187.81,638.568,20293700000
2017/3/15,1240.16,1251.61,1239.75,1249.61,297.805,20110400000
2017/3/14,1232.16,1244.81,1220.72,1240,245.306,19978200000
2017/3/13,1221.78,1237.37,1217.03,1231.92,380.277,19807700000
2017/3/12,1176.62,1226.98,1175.36,1221.38,227.176,19073300000
2017/3/11,1116.32,1193.83,1116.32,1175.83,283.32,18093700000
2017/3/10,1189.36,1270.47,1077.25,1116.72,563.796,19275300000
2017/3/9,1150.35,1197.46,1141.23,1188.49,212.283,18640900000
2017/3/8,1223.23,1232.16,1148.08,1150,332.603,19819800000
2017/3/7,1273.21,1275.55,1204.8,1223.54,291.256,20627100000
2017/3/6,1267.47,1276,1264.6,1272.83,153.657,20531900000
2017/3/5,1254.29,1267.29,1238.06,1267.12,134.127,20316000000
2017/3/4,1277.43,1279.4,1230.51,1255.15,183.27,20688800000
2017/3/3,1250.71,1280.31,1250.71,1274.99,315.739,20253700000
2017/3/2,1224.68,1262.13,1215.62,1251.01,368.275,19829800000
2017/3/1,1180.04,1222.5,1179.69,1222.5,229.057,19104800000
2017/2/28,1180.72,1193.25,1171.82,1179.97,184.956,19113600000
2017/2/27,1163.78,1181.98,1163.38,1179.97,131.57,18837300000
2017/2/26,1144.27,1167.47,1130.2,1165.2,116.486,18518900000
2017/2/25,1170.41,1174.85,1124.59,1143.84,139.961,18939500000
2017/2/24,1172.71,1200.39,1131.96,1173.68,330.759,18974400000
2017/2/23,1117.27,1176.62,1116.96,1166.72,189.454,18075200000
2017/2/22,1114.8,1125.39,1100.55,1117.44,136.1,18033400000
2017/2/21,1079.28,1117.25,1076.93,1115.3,186.869,17456900000
2017/2/20,1048.69,1080.49,1041.69,1079.98,109.478,16960200000
2017/2/19,1054.76,1056.81,1043.46,1047.87,77.4233,17056600000
2017/2/18,1049.21,1061.1,1046.96,1054.42,99.0735,16964800000
2017/2/17,1026.12,1053.17,1025.64,1046.21,136.474,16589600000
2017/2/16,1007.65,1033.37,1007.65,1027.44,122.277,16289100000
2017/2/15,1006.21,1008.84,1001.58,1007.48,89.7594,16264100000
2017/2/14,991.74,1011.51,986.47,1004.55,137.946,16028000000
2017/2/13,998.88,1002.1,976,990.64,100.607,16141500000
