steps,rewards,prices,actions
494,0.0,36796.91,1
495,0.0,37165.95,1
496,-0.005,37716.57,2
497,-0.005,38167.4,2
498,-0.005,37896.8,0
499,-0.005,38463.88,0
500,-0.005,38695.22,2
501,0.0,36893.08,1
502,-0.005,37310.29,2
503,-0.005,41560.38,0
504,0.0,41382.6,1
505,0.0,42381.72,1
506,0.0,43825.72,1
507,0.0,44032.87,1
508,0.0,44374.57,1
509,-0.005,43494.01,2
510,-0.005,42373.59,2
511,-0.005,42214.01,0
512,-0.005,42050.67,2
513,-0.005,42531.87,0
514,-0.005,44544.44,2
515,-0.005,43873.96,2
516,-0.005,40512.64,2
517,-0.005,39974.83,2
518,-0.005,40080.53,2
519,0.0,38381.48,1
520,-0.005,37011.07,2
521,-0.005,38238.96,2
522,-0.005,37250.61,2
523,0.0,38325.31,1
524,-0.005,39214.93,2
525,0.0,39116.35,1
526,-0.005,37697.69,2
527,-0.005,43169.33,0
528,0.0,44423.47,1
529,-0.005,43892.99,2
530,-0.005,42454.0,0
531,-0.005,39148.66,2
532,-0.005,39397.97,2
533,-0.005,38410.02,2
534,-0.005,38002.97,2
535,-0.005,38727.23,2
536,-0.005,41942.66,0
537,-0.005,39421.99,2
538,-0.005,38729.6,0
539,-0.005,38809.95,2
540,0.0,37774.94,1
541,-0.005,39671.33,2
542,-0.005,39280.36,2
543,-0.005,41115.45,0
544,-0.005,40913.06,2
545,-0.005,41759.66,2
546,-0.005,42206.03,2
547,-0.005,41258.39,2
548,-0.005,41004.76,0
549,-0.005,42361.97,2
550,-0.005,42884.03,0
551,-0.005,43991.51,2
552,0.0,44313.17,1
553,-0.005,44511.26,0
554,-0.005,46827.77,0
555,0.0,47122.2,1
556,-0.005,47434.8,2
557,-0.005,47067.12,2
558,-0.005,45510.34,2
559,-0.005,46280.5,0
560,-0.005,45811.0,2
561,0.0,46407.36,1
562,-0.005,46582.21,2
563,-0.005,45497.54,2
564,-0.005,43178.86,2
565,0.0,43455.21,1
566,-0.005,42257.35,2
567,-0.005,42753.97,2
568,0.0,42154.6,1
569,-0.005,39530.45,2
570,-0.005,40074.94,2
571,-0.005,41147.79,2
572,0.0,39942.36,1
573,-0.005,40547.85,2
574,-0.005,40378.7,2
575,-0.005,39678.12,0
576,-0.005,40801.14,2
577,-0.005,41493.19,2
578,-0.005,41361.6,0
579,0.0,40480.4,1
580,-0.005,39709.19,0
581,-0.005,39441.6,2
582,0.0,39450.12,1
583,-0.005,40426.09,0
584,0.0,38112.64,1
585,-0.005,39235.72,0
586,-0.005,39742.08,2
587,-0.005,38599.98,2
588,-0.005,37630.8,0
589,-0.005,38469.11,2
590,-0.005,38524.4,2
591,-0.005,37728.94,0
592,-0.005,39690.02,0
593,-0.005,36552.98,0
594,-0.005,36013.76,2
595,-0.005,35472.41,0
596,-0.005,34035.01,0
597,-0.005,30090.73,2
598,-0.005,31017.1,0
599,0.0,29121.64,1
600,-0.005,29027.16,2
601,-0.005,29284.01,2
602,-0.005,30086.57,0
603,-0.005,31329.5,0
604,-0.005,29866.96,2
605,-0.005,30443.99,0
606,0.0,28714.84,1
607,-0.005,30319.22,0
608,-0.005,29202.01,2
609,-0.005,29452.34,2
610,0.0,30296.21,1
611,-0.005,29097.85,2
612,0.0,29654.6,1
613,-0.005,29542.4,2
614,-0.005,29222.22,2
615,-0.005,28624.76,2
616,0.0,29039.21,1
617,-0.005,29468.09,2
618,-0.005,31720.87,2
619,-0.005,31787.62,2
620,-0.005,29800.54,2
621,-0.005,30461.95,2
622,-0.005,29700.29,0
623,-0.005,29864.98,2
624,-0.005,29917.92,0
625,-0.005,31373.69,0
626,-0.005,31130.5,2
627,-0.005,30206.7,2
628,0.0,30105.97,1
629,-0.005,29089.65,0
630,-0.005,28415.32,2
631,-0.005,26575.51,2
632,-0.005,22484.81,2
633,-0.005,22133.1,2
634,-0.005,22582.08,0
635,-0.005,20401.9,2
636,-0.005,20468.8,2
637,-0.005,18970.77,0
638,-0.005,20576.7,2
639,-0.005,20573.88,2
640,-0.005,20726.79,2
641,-0.005,19984.0,2
642,0.0,21105.56,1
643,-0.005,21234.47,2
644,-0.005,21491.65,2
645,-0.005,21045.67,0
646,-0.005,20739.72,2
647,-0.005,20278.52,2
648,-0.005,20120.8,0
649,0.0,19947.18,1
650,-0.005,19279.12,0
651,-0.005,19251.81,2
652,-0.005,19314.82,2
653,-0.005,20232.83,0
654,-0.005,20180.7,2
655,-0.005,20565.79,2
656,-0.005,21620.93,2
657,-0.005,21601.52,0
658,0.0,21592.43,1
659,-0.005,20862.86,0
660,-0.005,19963.52,0
661,-0.005,19331.59,2
662,-0.005,20238.34,0
663,-0.005,20590.81,2
664,-0.005,20836.86,0
665,-0.005,21197.99,2
666,-0.005,20799.38,2
667,-0.005,22446.45,2
668,-0.005,23398.53,2
669,-0.005,23224.2,2
670,-0.005,23150.93,0
671,-0.005,22682.76,2
672,-0.005,22448.79,2
673,-0.005,22580.93,2
674,-0.005,21307.13,2
675,-0.005,21248.14,0
676,-0.005,22953.38,2
677,-0.005,23846.55,0
678,-0.005,23775.06,0
679,-0.005,23640.76,2
680,-0.005,23294.88,2
681,-0.005,23266.69,0
682,-0.005,22988.99,2
683,-0.005,22821.79,2
684,-0.005,22620.86,0
685,-0.005,23311.0,2
686,-0.005,22952.66,0
687,-0.005,23174.19,2
688,-0.005,23813.52,0
689,0.0,23149.93,1
690,-0.005,23953.09,2
691,-0.005,23933.72,0
692,-0.005,24401.08,2
693,-0.005,24443.06,2
694,-0.005,24306.16,0
695,-0.005,24097.09,0
696,-0.005,23855.58,2
697,-0.005,23338.95,2
698,-0.005,23193.13,2
699,-0.005,20832.54,2
700,-0.005,21139.41,2
701,0.0,21517.41,1
702,-0.005,21400.7,2
703,-0.005,21524.54,2
704,-0.005,21368.55,2
705,-0.005,21563.91,2
706,-0.005,20245.45,0
707,-0.005,20036.43,2
708,-0.005,19559.77,0
709,-0.005,20288.71,2
710,-0.005,19802.29,2
711,-0.005,20049.68,0
712,-0.005,20131.02,0
713,-0.005,19949.22,2
714,0.0,19831.6,1
715,-0.005,20003.48,2
716,-0.005,19794.0,0
717,-0.005,18789.66,2
718,-0.005,19288.83,2
719,-0.005,19318.5,2
720,-0.005,21358.95,0
721,-0.005,21650.41,2
722,-0.005,21831.59,2
723,-0.005,22397.75,2
724,-0.005,20170.64,2
725,-0.005,20220.86,0
726,-0.005,19700.33,2
727,-0.005,19804.15,2
728,-0.005,20111.89,2
729,-0.005,19414.58,2
730,-0.005,19536.26,2
731,-0.005,18874.21,0
732,0.0,18462.18,1
733,-0.005,19399.77,0
734,-0.005,19287.88,0
735,-0.005,18921.26,0
736,-0.005,18810.35,2
737,-0.005,19226.0,2
738,-0.005,19080.13,2
739,-0.005,19414.09,0
740,0.0,19588.35,1
741,-0.005,19420.7,2
742,-0.005,19306.96,2
743,-0.005,19056.27,0
744,-0.005,19627.03,2
745,-0.005,20329.81,2
746,-0.005,20156.61,0
747,-0.005,19962.98,2
748,-0.005,19525.39,0
749,-0.005,19413.49,2
750,-0.005,19443.96,2
751,-0.005,19131.37,2
752,0.0,19055.69,1
753,-0.005,19156.55,2
754,-0.005,19375.58,2
755,-0.005,19177.67,0
756,-0.005,19069.71,2
757,-0.005,19267.0,0
758,-0.005,19547.01,2
